"","X","INSTNM","SATVR25","SATVRMID","SATVR75","SATMT25","SATMTMID","SATMT75","SATWR25","SATWRMID","SATWR75","TUITIONFEE_IN","TUITIONFEE_OUT","ACTCM25","ACTCM75","ACTCMMID","PCIP01","PCIP03","PCIP04","PCIP05","PCIP09","PCIP10","PCIP11","PCIP12","PCIP13","PCIP14","PCIP15","PCIP16","PCIP19","PCIP22","PCIP23","PCIP24","PCIP25","PCIP26","PCIP27","PCIP29","PCIP30","PCIP31","PCIP38","PCIP39","PCIP40","PCIP41","PCIP42","PCIP43","PCIP44","PCIP45","PCIP46","PCIP47","PCIP48","PCIP49","PCIP50","PCIP51","PCIP52","PCIP54","LATITUDE","LONGITUDE","HIGHDEG","HIGHDEG_1","undergrad.profile","twoorfour","partorfull","loworhigh","two.year","four.year","part.time","full.time","transfer.high","transfer.low"
"67",67,"Cornell University",650,695,740,680,725,770,490,500,650,47286,47286,30,34,32,0.135,0.0224,0.0359,0.0115,0.0188,0,0.0423,0,0.0011,0.1768,0,0.0115,0.0244,0,0.0157,0.0011,0,0.1361,0.0109,0,0.028,0,0.0028,0,0.0238,0,0.0221,0,0.0148,0.0938,0,0,0,0,0.0202,0,0.1373,0.0137,42.447199,-76.483489,4,"Graduate degree",14,"Four Year","Full Time","Low",0,1,0,0,0,1
"68",68,"Weill Cornell Medical College",430,570,620,450,500,760,380,580,620,11623,33112,19,27,25,0.005,0.043,0.0286,0.0133,0.0059,0.0097,0.0425,0.0046,0.0408,0.0441,0.0434,0.0566,0.0296,6e-04,0.0156,0.0298,0.0154,0.0525,0.0234,0.0466,0.0029,0.0033,0.0515,0.037,0.0023,0.0045,0.0158,0.0379,0.0057,0.0474,0.0108,0.0416,0.0373,0.0276,0.0397,0.049,0.0055,0.0292,40.764738,-73.954839,4,"Graduate degree",0,"Four Year","Full Time","Low",0,0,0,0,0,0
"69",69,"Corning Community College",360,550,730,560,600,570,380,560,680,4700,8850,23,29,23,0,0.003,0,0,0,0,0.0286,0,0.003,0.0136,0.0512,0,0.0286,0,0,0.4458,0,0,0,0,0,0.009,0,0,0,0.0136,0,0.0497,0.0663,0,0,0.0286,0.006,0,0.0151,0.0979,0.1401,0,42.11724,-77.073708,2,"Associate degree",2,"Two Year","Part Time","Low",1,0,1,0,0,0
"70",70,"Pomeroy College of Nursing at Crouse Hospital",320,540,560,390,570,590,530,500,660,10287,16550,19,26,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43.042264,-76.138834,2,"Associate degree",1,"Two Year","Part Time","Low",1,0,1,0,0,0
"71",71,"Culinary Institute of America",430,520,600,390,560,680,510,540,740,28240,28240,22,25,23,0,0,0,0,0,0,0,0.7786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2214,0,41.746225,-73.931833,3,"Bachelor's degree",13,"Four Year","Full Time","High",0,1,0,1,1,0
"72",72,"CUNY Bernard M Baruch College",540,590,640,600,645,690,340,590,790,6561,13371,24,34,26,0,0,0,0,0.0146,0,0.0409,0,0,0,0,3e-04,0,0,0.0133,0.0114,0,0.0052,0.0091,0,0,0,0.0016,0,0,0,0.0445,0,0.0149,0.0519,0,0,0,0,0.0091,0,0.7784,0.0049,40.740238,-73.983417,4,"Graduate degree",9,"Four Year","Full Time","High",0,1,0,1,1,0
"73",73,"CUNY Borough of Manhattan Community College",460,510,800,350,570,590,510,550,620,4818,7518,21,26,27,0,0,0,0,0.0093,0.0188,0.0632,0,0.0518,0.0102,0,0,0,0,0.017,0.3442,0,0.0019,0.0071,0,0,0,0,0,0.0219,0,0,0.0854,0.0453,0,0,0,0,0,0.013,0.0688,0.2421,0,40.71879,-74.011826,2,"Associate degree",3,"Two Year","Full Time","Low",1,0,0,1,0,0
"74",74,"CUNY Bronx Community College",320,590,710,350,610,770,520,530,640,4854,7554,25,29,24,0,0,0,0,0,0.0107,0.024,0,0.0434,0.0053,0.0274,0,0,0.014,0,0.3393,0,0,0.0033,0,0,0,0,0,0.016,7e-04,0,0.1196,0.0715,0,0,0.0254,0,0,0.0254,0.1576,0.1162,0,40.857185,-73.909742,2,"Associate degree",2,"Two Year","Part Time","Low",1,0,1,0,0,0
"75",75,"CUNY Brooklyn College",480,525,570,510,560,610,420,560,570,6536,13346,20,29,26,0,0,0,0.0192,0.0552,0,0.0323,0,0.1357,0,0,0.0098,0,0,0.0323,0,0,0.0388,0.0102,0,0.0012,0.018,0.0123,0,0.0213,0,0.1525,0,0,0.0474,0,0,0,0,0.056,0.067,0.2805,0.0102,40.631912,-73.95312,4,"Graduate degree",9,"Four Year","Full Time","High",0,1,0,1,1,0
"76",76,"College of Staten Island CUNY",440,485,530,470,520,570,530,520,660,6458,13268,23,33,23,0,0,0,0.0041,0.0498,0,0.0313,0,0.0561,0.0139,0.0012,0.0064,0,0,0.0434,0.1134,0,0.0255,0.0087,0,0.0046,0,0.0058,0,0.0098,0,0.1337,0,0.0226,0.103,0,0,0,0,0.0237,0.1661,0.1568,0.0203,40.603949,-74.148701,4,"Graduate degree",9,"Four Year","Full Time","High",0,1,0,1,1,0
"77",77,"CUNY City College",470,535,600,530,595,660,520,600,640,6389,13199,24,36,24,0,9e-04,0.0274,0.0071,0.0439,0,0.0137,0,0.0524,0.1317,0,0.0123,0,0.0042,0.0637,0.0562,0,0.085,0.0184,0,0,0,0.0038,0,0.026,0,0.1596,0,0,0.1256,0,0,0,0,0.0954,0.0132,0.0321,0.0274,40.819794,-73.95055,4,"Graduate degree",9,"Four Year","Full Time","High",0,1,0,1,1,0
"78",78,"CUNY Graduate School and University Center",470,490,700,490,590,720,440,600,590,6460,13270,21,26,27,0,0,0,0.0027,0.2112,0,0,0,0.0027,0,0,0,0.0856,0,0,0.2166,0,0,0,0,0.008,0,0,0,0.1711,0,0.0267,0,0.0187,0.016,0,0,0,0,0,0.0267,0.2139,0,40.748503,-73.983575,4,"Graduate degree",5,"Four Year","Part Time","Low",0,1,1,0,0,0
"79",79,"CUNY Hostos Community College",480,490,580,390,550,650,480,590,710,4855,7555,25,31,23,0,0,0,0,0,0.0232,0,0,0.1172,0.0139,0,0,0.0383,0.0104,0,0.355,0,0,0.0081,0,0,0,0,0,0.0174,0,0,0.0858,0.0174,0,0,0,0,0,0.0035,0.1775,0.1323,0,40.817601,-73.927363,2,"Associate degree",2,"Two Year","Part Time","Low",1,0,1,0,0,0
"80",80,"CUNY Hunter College",520,565,610,540,595,650,420,550,640,6429,13239,23,34,23,0,0.0049,0,0.0128,0.0573,0,0.0184,0,0.0104,0,0,0.0208,0.0087,0,0.1139,0,0,0.026,0.016,0,0,0,0.0108,0,0.0646,0,0.2441,0,0.0038,0.1632,0,0,0,0,0.0722,0.0865,0.0434,0.0222,40.768669,-73.964795,4,"Graduate degree",9,"Four Year","Full Time","High",0,1,0,1,1,0
"81",81,"CUNY John Jay College of Criminal Justice",430,475,520,450,495,540,350,500,680,6359,13169,25,25,26,0,0,0,0.0019,0,0,0.0101,0,0,0,0,0,0,0.0304,0.0184,0.015,0,0,0,0,0.0135,0,8e-04,0,0,0,0.1653,0.5548,0.0199,0.1589,0,0,0,0,0,0,0,0.0109,40.770917,-73.988874,4,"Graduate degree",13,"Four Year","Full Time","High",0,1,0,1,1,0
"82",82,"CUNY Kingsborough Community College",510,510,640,510,590,650,330,600,660,4850,7550,21,25,27,0,0,0,0,0.0064,0.012,0.0198,0.0138,0.0145,0.0088,0,0,0,0,0.0138,0.4203,0,0.0413,0.0046,0,0,0.0155,0,0,0.0039,0,0,0.0664,0,0,0,0.0035,0,0,0.0498,0.1247,0.1809,0,40.576446,-73.934779,2,"Associate degree",2,"Two Year","Part Time","Low",1,0,1,0,0,0
"83",83,"CUNY LaGuardia Community College",450,540,690,550,500,680,480,590,680,4866,7566,20,35,23,0,0.0016,0,0,0.0131,0.0037,0.0245,0,0.0029,0.0233,0,8e-04,0.0024,0.0216,0.0118,0.231,0,0.0061,0,0,0,0,0.0033,0,0.042,0,0.0151,0.0857,0,0,0,0.0204,0,0,0.0486,0.1657,0.2763,0,40.7445,-73.935057,2,"Associate degree",2,"Two Year","Part Time","Low",1,0,1,0,0,0
"84",84,"CUNY Lehman College",460,495,530,470,500,530,370,510,560,6408,13218,24,33,25,0,0.0016,0,0.0161,0.0249,0,0.0373,0,0.0295,0,0,0.0093,0,0,0.029,0.0073,0,0.0176,0.0057,0,0,0.0119,0.001,0,0.0047,0,0.0674,0,0.0767,0.1374,0,0,0,0,0.0275,0.2908,0.1928,0.0114,40.873928,-73.894627,4,"Graduate degree",9,"Four Year","Full Time","High",0,1,0,1,1,0
"85",85,"CUNY Medgar Evers College",320,510,630,470,530,580,560,590,660,6332,13142,25,32,25,0,0.001,0,0,0,0,0.0257,0,0.0623,0,0,0,0,0,0.0158,0.1296,0,0.0465,0.0089,0,0,0,0,0,0.1543,0,0.0762,0,0.0465,0,0,0,0,0,0,0.1721,0.2611,0,40.666256,-73.957076,3,"Bachelor's degree",7,"Four Year","Full Time","High",0,1,0,1,1,0
"86",86,"CUNY New York City College of Technology",450,500,620,550,520,650,450,570,640,6369,13179,24,27,24,0,0,0.0434,0,0,0,0.1198,0,0.0029,0,0.1408,0,0.0134,0.0315,0,0.0477,0,0,0.0053,0,0,0,0,0,0.0348,0.0038,0,0,0.0668,0,0,0,0,0,0.0883,0.253,0.1484,0,40.695483,-73.987856,3,"Bachelor's degree",7,"Four Year","Full Time","High",0,1,0,1,1,0
"87",87,"CUNY Queens College",480,520,560,530,570,610,370,520,610,6507,13317,23,28,26,0,0.0064,0,0.0041,0.041,0,0.0264,0,0.0695,0,0,0.0206,0.0152,0,0.0467,0,0,0.0235,0.0162,0,0.0022,0.0152,0.0025,0,0.0057,0,0.1829,0,0,0.2213,0,0,0,0,0.0534,0.0384,0.1769,0.0318,40.737771,-73.815387,4,"Graduate degree",9,"Four Year","Full Time","High",0,1,0,1,1,0
"88",88,"CUNY Queensborough Community College",430,570,610,490,520,730,510,600,660,4840,7540,24,35,25,0,0,0,0,0,0,0.0152,0,0,0.0152,0.0573,0,0,0,0,0.3751,0,0.0061,0,0,0,0,0,0,0.0512,0,0,0.0801,0,0,0,0.0066,0,0,0.0547,0.1323,0.2063,0,40.754858,-73.754548,2,"Associate degree",2,"Two Year","Part Time","Low",1,0,1,0,0,0
"89",89,"CUNY School of Law",540,510,720,510,590,670,370,590,690,8062,25934,19,34,24,0.0502,0.0449,0.0151,0.0441,0.0084,0.0411,0.0029,7e-04,0.019,0.0127,0.0384,0.0535,0.0421,0.0014,0.0257,0.0075,0.0075,0.041,0.0025,0.0305,0.0449,0.0482,0.0071,0.0073,0.005,0.0286,0.0076,0.0177,0.038,0.0453,0.0347,0.0254,0.0472,0.0478,0.0036,0.0128,0.046,0.0437,40.746366,-73.943992,4,"Graduate degree",0,"Four Year","Full Time","Low",0,0,0,0,0,0
"90",90,"CUNY York College",400,435,470,420,465,510,380,500,660,6396,13206,23,32,23,0,0,0,0.001,0.0203,0.0116,0.0338,0,0.0309,0,0,0.0154,0,0,0.0347,0,0,0.0328,0.0183,0,0.0174,0,0.001,0,0.0164,0,0.1718,0,0.0724,0.0763,0,0,0,0.0183,0.0097,0.2336,0.1757,0.0087,40.702661,-73.794586,4,"Graduate degree",7,"Four Year","Full Time","High",0,1,0,1,1,0
"91",91,"CVPH Medical Center School of Radiologic Technology",430,540,640,490,570,670,510,520,730,8584,24417,2,31,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,44.699991,-73.469773,1,"Certificate degree",-2,"Four Year","Full Time","Low",0,0,0,0,0,0
"92",92,"D'Youville College",450,500,550,460,515,570,430,480,530,23562,23562,21,25,23,0,0,0,0,0,0,0.0024,0,0,0,0,0,0,0,0.0098,0,0,0.088,0.0024,0,0.088,0,0.0073,0,0.0024,0,0.0196,0,0,0.0244,0,0,0,0,0,0.6455,0.1051,0.0049,42.902263,-78.890369,4,"Graduate degree",13,"Four Year","Full Time","High",0,1,0,1,1,0
"93",93,"Daemen College",360,540,610,490,540,600,490,510,690,24990,24990,25,33,23,0,0,0,0,0.0037,0.0239,0,0,0.0569,0,0,0.0055,0,0.0037,0.0073,0.0147,0,0.0073,0.0055,0,0.1615,0,0.0018,0,0,0,0.0349,0,0.033,0.011,0,0,0,0,0.033,0.4275,0.167,0.0018,42.965024,-78.789025,4,"Graduate degree",13,"Four Year","Full Time","High",0,1,0,1,1,0
"94",94,"Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary",430,500,640,440,560,620,320,600,600,10500,10500,20,26,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.60049,-73.743901,3,"Bachelor's degree",11,"Four Year","Full Time","High",0,1,0,1,1,0
"95",95,"Dominican College of Blauvelt",390,435,480,390,435,480,390,432,473,25702,25702,16,21,19,0,0,0,0,0.043,0,0.0115,0,0.0831,0,0,0,0,0,0.0172,0.0201,0,0.0602,0.0057,0,0,0,0,0,0,0,0.0487,0.063,0.0458,0.1203,0,0,0,0,0,0.2951,0.1547,0.0315,41.054111,-73.95234,4,"Graduate degree",11,"Four Year","Full Time","High",0,1,0,1,1,0
"96",96,"Dowling College",370,500,620,480,610,570,460,510,610,29100,29100,21,31,23,0,0,0,0,0.0373,0,0.0093,0,0.2308,0,0,0.0023,0,0,0.021,0.0536,0,0.0256,0.007,0,0.0093,0.035,0.0023,0,0.0117,0,0.0979,0,0,0.0746,0,0,0,0.0932,0.0396,0,0.2401,0.0093,40.746051,-73.164816,4,"Graduate degree",11,"Four Year","Full Time","High",0,1,0,1,1,0
"97",97,"Dutchess Community College",410,530,780,510,520,730,460,580,610,3635,6835,25,26,24,0,0,0,0,0.0368,0,0.0284,0,0.0217,0.0184,0.0259,0,0.0142,0.0251,0,0.3534,0,0,0,0,0,0.0167,0,0,0,0,0,0.086,0.0459,0,0.01,0.0142,0,0.0084,0.0468,0.1111,0.137,0,41.726476,-73.904954,2,"Associate degree",2,"Two Year","Part Time","Low",1,0,1,0,0,0
"98",98,"Belanger School of Nursing",480,540,700,470,570,620,530,590,690,9261,9261,23,27,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,42.80359,-73.914641,2,"Associate degree",1,"Two Year","Part Time","Low",1,0,1,0,0,0
"99",99,"Elmira Business Institute",430,590,680,530,560,760,390,540,710,19400,19400,21,30,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7075,0.2653,0,42.085709,-76.7993,2,"Associate degree",3,"Two Year","Full Time","Low",1,0,0,1,0,0
"100",100,"Elmira College",470,530,590,470,530,590,490,540,710,38150,38150,21,27,24,0,0.0032,0,0.0063,0,0,0,0,0.1873,0,0,0,0,0,0.0286,0.0286,0,0.0921,0.0127,0,0.0095,0,0.0095,0,0.019,0,0.1111,0.0603,0.0254,0.0857,0,0,0,0,0.0286,0.1143,0.1429,0.0349,42.092724,-76.811333,4,"Graduate degree",12,"Four Year","Full Time","Low",0,1,0,1,0,1
"101",101,"Erie Community College",540,530,700,410,530,600,510,550,760,4888,9183,25,25,26,0,0.002,0,0,0.0185,0.0052,0.0286,0.0193,0.0024,0.0133,0.0334,0,0.0105,0.0185,0,0.3631,0,0,0,0,0,0.0072,0,0,0,0.004,0,0.0986,0.0217,0.0032,0.025,0.056,0,0,0,0.1683,0.101,0,42.881771,-78.872679,2,"Associate degree",3,"Two Year","Full Time","Low",1,0,0,1,0,0
"102",102,"Fashion Institute of Technology",470,530,680,330,610,620,490,520,630,5200,14200,21,34,25,0,0,0,0,0.158,0.007,0,0,0,0,0,0,0.0381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4117,0,0.3852,0,40.74731,-73.994781,4,"Graduate degree",11,"Four Year","Full Time","High",0,1,0,1,1,0
"103",103,"Finger Lakes Community College",530,550,610,480,510,670,490,560,720,4456,8478,22,26,23,0.0236,0.0686,0,0,0.0236,0.0171,0.0289,0.0129,0.0064,0.0075,0.0214,0,0,0.0171,0,0.3076,0,0,0,0,0,0.0086,0,0,0,0.0043,0,0.0504,0.0493,0,0,0,0,0,0.0589,0.1168,0.1768,0,42.867556,-77.241801,2,"Associate degree",2,"Two Year","Part Time","Low",1,0,1,0,0,0
"104",104,"Five Towns College",370,570,680,330,520,610,430,500,700,21370,21370,25,35,26,0,0,0,0,0,0,0,0,0.1099,0,0,0,0,0,0,0.0366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4136,0,0.4398,0,40.793327,-73.369968,4,"Graduate degree",11,"Four Year","Full Time","High",0,1,0,1,1,0
"105",105,"Fordham University",570,620,670,580,630,680,580,630,680,45623,45623,26,30,28,0,0,0,0.0165,0.1275,0,0.0217,0,0,0.0062,0,0.0129,0,0,0.0511,0.0114,0,0.0361,0.0186,0,0.0284,0,0.0258,0,0.0119,0,0.0722,0,0.0072,0.1806,0,0,0,0,0.0573,0,0.2864,0.0284,40.861183,-73.889578,4,"Graduate degree",14,"Four Year","Full Time","Low",0,1,0,0,0,1
"106",106,"The International Culinary Center",400,540,720,510,610,570,530,600,720,10093,26552,19,32,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.720817,-74.00009,1,"Certificate degree",-2,"Four Year","Full Time","Low",0,0,0,0,0,0
"107",107,"Fulton-Montgomery Community College",460,500,550,390,610,660,540,510,690,4168,7816,24,30,25,0,0,0,0,0.0248,0.0045,0.0451,0,0,0.0135,0.0677,0,0.0271,0,0,0.3837,0,0,0,0,0,0,0,0,0,0,0,0.0745,0.0542,0,0,0.0113,0,0,0.0226,0.1219,0.149,0,42.983048,-74.294146,2,"Associate degree",2,"Two Year","Part Time","Low",1,0,1,0,0,0
"108",108,"Gemological Institute of America-New York",520,520,580,300,550,740,370,580,620,10618,29557,23,27,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40.757514,-73.980657,1,"Certificate degree",-2,"Four Year","Full Time","Low",0,0,0,0,0,0
"109",109,"The General Theological Seminary",510,590,670,430,600,620,390,510,730,10307,22842,19,27,24,0.0513,0.0384,0.0373,0.0475,0.0187,0.0017,0.0355,0.0537,0.0205,0.0203,0.0034,0.0128,0.0014,0.0119,0.0345,0.0363,0.0079,0.0374,0.0139,0.0224,0.0216,0.0476,0.0109,0.0055,0.0375,0.0375,0.0261,0.025,0.0121,0.0458,0.0301,0.0088,0.0347,0.0233,0.0205,0.047,0.0346,0.0243,40.745787,-74.003701,4,"Graduate degree",0,"Four Year","Full Time","Low",0,0,0,0,0,0
"110",110,"Genesee Community College",410,520,740,370,520,630,510,570,750,4306,4906,20,27,23,0,0,0,0,0.0142,0,0.0131,0,0.0218,0.0066,0.0087,0,0.012,0.0164,0,0.2784,0,0,0,0,0,0,0,0,0,0.0022,0,0.0928,0.0699,0,0,0,0,0,0.0404,0.2937,0.1299,0,43.016831,-78.138024,2,"Associate degree",2,"Two Year","Part Time","Low",1,0,1,0,0,0
"111",111,"Gloria Francis School of Make-Up Artistry",330,550,580,540,530,660,420,500,560,7925,18523,20,36,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.762518,-73.526023,1,"Certificate degree",-2,"Four Year","Full Time","Low",0,0,0,0,0,0
"112",112,"Hamilton College",650,690,730,660,700,740,650,695,740,47820,47820,30,33,32,0,0.016,0,0.026,0.038,0,0.024,0,0,0,0,0.11,0,0,0.078,0,0,0.13,0.042,0,0.01,0,0.016,0,0.066,0,0.058,0,0.02,0.272,0,0,0,0,0.056,0,0,0.038,43.047809,-75.408853,3,"Bachelor's degree",14,"Four Year","Full Time","Low",0,1,0,0,0,1
"113",113,"Hartwick College",390,550,560,300,520,790,550,570,600,40070,40070,20,28,24,0,0,0,0,0,0,0.0172,0,0.0143,0,0,0.0143,0,0,0.0516,0.0029,0,0.1261,0.0143,0,0,0,0.0201,0,0.0315,0,0.0573,0,0,0.1948,0,0,0,0,0.0745,0.1519,0.1805,0.0487,42.454023,-75.073609,3,"Bachelor's degree",14,"Four Year","Full Time","Low",0,1,0,0,0,1
"114",114,"Helene Fuld College of Nursing",340,590,570,390,610,690,490,590,680,16753,16753,22,32,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40.802506,-73.943009,3,"Bachelor's degree",5,"Four Year","Part Time","Low",0,1,1,0,0,0
"115",115,"Herkimer County Community College",350,540,590,470,530,770,520,550,640,4460,6920,25,33,27,0,0,0,0.0017,0.0347,0.0066,0.0165,0,0.0479,0,0,0,0,0.0413,0,0.3036,0,0,0,0,0,0.0446,0,0,0,0,0,0.1403,0.0462,0,0,0,0,0,0.033,0.0908,0.1931,0,43.032586,-75.007367,2,"Associate degree",2,"Two Year","Part Time","Low",1,0,1,0,0,0
"116",116,"Hilbert College",330,530,700,520,520,680,420,510,770,19940,19940,23,35,26,0,0,0,0,0.0605,0,0.0363,0,0,0,0,0,0,0.0484,0.0161,0.0121,0,0,0,0,0.0121,0,0,0,0,0,0.0403,0.5444,0.0968,0.0202,0,0,0,0,0,0.0121,0.1008,0,42.75505,-78.82029,4,"Graduate degree",11,"Four Year","Full Time","High",0,1,0,1,1,0
"117",117,"Hobart William Smith Colleges",330,590,660,480,590,640,350,520,620,47908,47908,20,34,26,0,0.0496,0.0496,0.0351,0.1012,0,0.0145,0,0,0,0,0.0227,0,0,0.0661,0.0661,0,0.0785,0.0227,0,0,0,0.0269,0,0.0434,0,0.0764,0,0.0434,0.2128,0,0,0,0,0.0537,0,0,0.0372,42.857725,-76.984533,4,"Graduate degree",14,"Four Year","Full Time","Low",0,1,0,0,0,1
"118",118,"Hofstra University",520,565,610,530,575,620,520,510,710,38900,38900,23,28,26,0,0.0014,0,0.0043,0.1753,0,0.01,0,0.0285,0.0164,0,0.0143,0,0,0.0456,0.0071,0,0.0371,0.0143,0,0.0143,0,0.0064,0,0.0071,0,0.0841,0.0036,0,0.0855,0,0,0,0,0.0542,0.0898,0.2808,0.02,40.715959,-73.60078,4,"Graduate degree",14,"Four Year","Full Time","Low",0,1,0,0,0,1
"119",119,"Houghton College",490,565,640,490,555,620,480,545,610,28556,28556,22,27,25,0.0127,0,0,0.0698,0.0603,0,0.0063,0,0.1524,0,0,0.0032,0,0,0.0444,0.0254,0,0.0571,0.0127,0,0.0127,0.0254,0.0095,0.0349,0.0476,0,0.073,0,0,0.0254,0,0,0,0,0.0825,0,0.2317,0.0127,42.426841,-78.156882,4,"Graduate degree",13,"Four Year","Full Time","High",0,1,0,1,1,0
"120",120,"Hudson Valley Community College",460,550,600,380,560,590,470,520,640,4754,12714,22,25,24,0.0048,0.0043,0,0,0,0.0181,0.0401,0.0072,0.0248,0.0186,0.0755,0,0.0282,0,0,0.2058,0,0.0076,0,0,0,0.0115,0,0,0.0029,0.0105,0,0.0802,0.0368,0,0.0506,0.0587,0,0,0.0115,0.149,0.1533,0,42.696462,-73.682526,2,"Associate degree",2,"Two Year","Part Time","Low",1,0,1,0,0,0
"121",121,"Hunter Business School",460,540,680,510,500,690,490,590,770,13102,30716,24,29,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1157,0,0,0,0.8108,0.0735,0,40.727856,-73.503403,1,"Certificate degree",-2,"Four Year","Full Time","Low",0,0,0,0,0,0
"122",122,"Institute of Design and Construction",390,580,570,470,520,680,560,600,690,8580,8580,23,30,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.692209,-73.983141,2,"Associate degree",2,"Two Year","Part Time","Low",1,0,1,0,0,0
"123",123,"Institute of Audio Research",330,520,600,530,510,660,470,500,670,11249,22893,23,27,24,0,0,0,0,0,0.9722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278,0,0,0,40.733027,-73.993808,1,"Certificate degree",-2,"Four Year","Full Time","Low",0,0,0,0,0,0
"124",124,"Iona College",460,505,550,460,510,560,460,550,590,34030,34030,20,25,23,0,0.0014,0,0,0.1551,0,0.015,0,0.0476,0,0,0.0082,0,0,0.0313,0,0,0.0367,0.0082,0,0,0,0.0041,0,0.0231,0,0.098,0.0789,0.0218,0.0571,0,0,0,0,0,0.068,0.3279,0.0177,40.927107,-73.785635,4,"Graduate degree",12,"Four Year","Full Time","Low",0,1,0,1,0,1
"125",125,"Isabella Graham Hart School of Practical Nursing",520,530,640,540,530,730,520,540,730,9002,27694,20,28,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43.20182,-77.575711,1,"Certificate degree",-2,"Four Year","Full Time","Low",0,0,0,0,0,0
"126",126,"Island Drafting and Technical Institute",400,560,760,550,560,620,400,590,720,15650,15650,23,26,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.675466,-73.417123,2,"Associate degree",4,"Two Year","Full Time","Low",1,0,0,1,0,0
"127",127,"Ithaca College",440,490,750,550,570,580,440,530,660,39532,39532,25,28,25,0,0.0224,0.0036,0,0.2234,0.0022,0.0087,0,0.0412,0,0,0.0029,0,0.0065,0.0333,0.0051,0,0.0448,0.0043,0,0.0123,0.0484,0.0051,0,0.0145,0,0.0354,0,0,0.0622,0,0,0,0,0.1764,0.1352,0.0969,0.0152,42.42264,-76.495057,4,"Graduate degree",14,"Four Year","Full Time","Low",0,1,0,0,0,1
"128",128,"Jamestown Community College",520,520,570,470,500,610,490,520,660,5080,9490,23,27,25,0,0.0112,0,0,0.0211,0.0062,0.0311,0,0.0025,0.005,0.0236,0,0.0025,0,0,0.3769,0,0,0,0,0,0.0087,0,0,0,0.0075,0,0.0945,0.0547,0,0,0,0.0211,0.0025,0.0249,0.1704,0.1356,0,42.115628,-79.218862,2,"Associate degree",2,"Two Year","Part Time","Low",1,0,1,0,0,0
"129",129,"Jamestown Business College",450,570,610,480,610,590,430,530,690,12000,12000,21,35,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0085,0.9915,0,42.095118,-79.249373,3,"Bachelor's degree",11,"Four Year","Full Time","High",0,1,0,1,1,0
"130",130,"Jefferson Community College",460,530,710,440,590,630,370,590,590,4547,6635,25,27,26,0.0218,0,0,0,0,0,0.0044,0,0.0073,0.0087,0.0174,0,0.0334,0.0131,0,0.4273,0,0,0,0,0,0.0131,0,0,0,0,0,0.077,0.0523,0,0,0,0,0,0,0.1032,0.2209,0,43.987465,-75.940004,2,"Associate degree",2,"Two Year","Part Time","Low",1,0,1,0,0,0
